# Source: DsRegistroVeriFactu.xlsx :: sheet '1)DR Remisión Alta-Anul.VF-Req.'
BLOQUE	DATOS/ AGRUPACIÓN	DATOS/ AGRUPACIÓN	DESCRIPCIÓN	FORMATO / (LONGITUD) / LISTA
Cabecera1	ObligadoEmision1	NombreRazon1	Nombre-razón social del obligado a expedir las facturas.	Alfanumérico (120) 
		NIF1	NIF del obligado a expedir las facturas.	FormatoNIF (9) 
	Representante	NombreRazon1	Nombre-razón social del representante del obligado tributario. A rellenar solo en caso de que los registros de facturación remitidos hayan sido generados por un representante/asesor del obligado tributario. Este campo forma parte del detalle de las circunstancias de generación de los registros de facturación.	Alfanumérico (120) 
		NIF1	NIF del representante del obligado tributario. A rellenar solo en caso de que los registros de facturación remitidos hayan sido generados por un representante/asesor del obligado tributario. Este campo forma parte del detalle de las circunstancias de generación de los registros de facturación.	FormatoNIF (9) 
	RemisionVoluntaria	FechaFinVeriFactu	Última fecha en la que el sistema informático actuará como «VERI*FACTU». Después de la misma, el sistema dejará de funcionar como «VERI*FACTU». Este campo forma parte del detalle de las circunstancias de generación de los registros de facturación actuales y futuros. A rellenar sólo en los casos de remisión voluntaria «VERI*FACTU» ante una futura renuncia a continuar con las remisiones voluntarias «VERI*FACTU».	Fecha (dd-mm-yyyy)
		Incidencia	Indicador que especifica si la remisión voluntaria de los registros de facturación se ha visto afectada por algún tipo de incidencia técnica (por ej. ausencia de corriente eléctrica, problemas de conexión a Internet, fallo del sistema informático de facturación…). Si no se informa este campo se entenderá que tiene valor “N”. Este campo forma parte del detalle de las circunstancias de generación de los registros de facturación. A rellenar sólo en los casos de remisión voluntaria «VERI*FACTU» cuando haya ocurrido alguna situación de este tipo.	Alfanumérico (1) L4
	RemisionRequerimiento	RefRequerimiento1	Sólo cuando el motivo de la remisión sea para dar respuesta a un requerimiento de información previo efectuado por parte de la AEAT, se deberá indicar aquí la referencia de dicho requerimiento, lo que forma parte del detalle de las circunstancias de generación del registro de facturación. Por lo tanto, NO deberá informarse este campo en el caso de una remisión voluntaria «VERI*FACTU».	Alfanumérico (18) 
		FinRequerimiento	Indicador que especifica que se ha finalizado la remisión de registros de facturación tras un requerimiento, especialmente útil cuando se realice un envío o remisión múltiple y se ha de dejar constancia de que se trata del último envío. Si no se informa este campo se entenderá que tiene valor “N”. Solo puede cumplimentarse si el campo RefRequerimiento viene informado. 	Alfanumérico (1) L4
RegistroFactura (1-1000)1	RegistroAlta1		Datos del registro de facturación de alta. Ver su diseño de bloque: «RegistroAlta».
	RegistroAnulacion1		Datos del registro de facturación de anulación. Ver su diseño de bloque: «RegistroAnulacion».


